sentence_lengths_words,sentence_lengths_lemmas,sentence_lengths_lexical,L_lines_words,L_lines_lemmas,L_lines_lexical,L_closerange_words,L_closerange_lemmas,L_closerange_lexical,L_cliques_words,L_cliques_lemmas,L_cliques_lexical,L_dependency_words,L_dependency_lemmas,L_dependency_lexical,L_IFtrimmed_words,L_IFtrimmed_lemmas,L_IFtrimmed_lexical,average_k_lines_words,average_k_lines_lemmas,average_k_lines_lexical,average_k_closerange_words,average_k_closerange_lemmas,average_k_closerange_lexical,average_k_cliques_words,average_k_cliques_lemmas,average_k_cliques_lexical,average_k_dependency_words,average_k_dependency_lemmas,average_k_dependency_lexical,average_k_IFtrimmed_words,average_k_IFtrimmed_lemmas,average_k_IFtrimmed_lexical
21,19,13,4.161904761904762,3.2690058479532165,2.576923076923077,3.085714285714286,3.3391812865497075,2.4615384615384617,1,1,1,2.880952380952381,2.538011695906433,2.269230769230769,2.323809523809524,2.198830409356725,2.576923076923077,2.0952380952380953,2.3157894736842106,2.3076923076923075,2.857142857142857,2.736842105263158,2.923076923076923,20,18,12,2.4761904761904763,2.736842105263158,2.923076923076923,6.761904761904762,7.473684210526316,3.230769230769231
13,13,9,2.6666666666666665,2.6666666666666665,2.3055555555555554,1.9871794871794872,2.371794871794872,1.5,1,1,1,2.4871794871794872,2.4871794871794872,2.1944444444444446,1.5512820512820513,2.6794871794871793,2.361111111111111,2.1538461538461537,2.1538461538461537,2,3.3846153846153846,2.769230769230769,3.111111111111111,12,12,8,2.1538461538461537,2.1538461538461537,2,6.153846153846154,3.230769230769231,2.888888888888889
9,9,6,3.3333333333333335,3.3333333333333335,2.3333333333333335,1.6363636363636365,1.9047619047619047,1.6666666666666667,1,1,1,2.5,2.5,1.8,1.4722222222222223,1.5,1.9333333333333333,1.7777777777777777,1.7777777777777777,1.6666666666666667,2.4444444444444446,1.7777777777777777,2.3333333333333335,8,8,5,1.7777777777777777,1.7777777777777777,1.3333333333333333,4.666666666666667,4.444444444444445,2
22,22,14,4.238095238095238,4.294372294372295,4.34065934065934,2.896103896103896,3.204761904761905,2.923076923076923,1,1,1,3.121212121212121,3.051948051948052,3.1868131868131866,2.4545454545454546,2.432900432900433,2.076923076923077,2.272727272727273,2.272727272727273,2.142857142857143,3.5454545454545454,3.1818181818181817,3,21,21,13,2.3636363636363638,2.3636363636363638,2.142857142857143,6.454545454545454,6.636363636363637,5.285714285714286
24,24,13,7.702898550724638,7.702898550724638,4.666666666666667,3.6296296296296298,3.4074074074074074,2.4727272727272727,1,1,1,3.597826086956522,3.597826086956522,3.1538461538461537,1.7210144927536233,1.5471014492753623,1.6153846153846154,2.0833333333333335,2.0833333333333335,2,2.4166666666666665,2.4166666666666665,2.6153846153846154,23,23,12,2.1666666666666665,2.1666666666666665,2.1538461538461537,10.083333333333334,12.5,5.6923076923076925
20,20,11,4.552631578947368,4.552631578947368,2.7636363636363637,2.957894736842105,3.1473684210526316,1.9636363636363636,1,1,1,2.7,2.7,2.2181818181818183,2.1789473684210527,1.9473684210526316,1.8181818181818181,2.4,2.4,2.3636363636363638,3.3,3,2.909090909090909,19,19,10,2.3,2.3,2.3636363636363638,6.1,7.4,4.7272727272727275
14,14,9,5,5,3.3333333333333335,3,2.934065934065934,1.9722222222222223,1,1,1,3,3,2.5555555555555554,2,1.989010989010989,2.0833333333333335,1.8571428571428572,1.8571428571428572,1.7777777777777777,3.142857142857143,3.2857142857142856,3.111111111111111,13,13,8,1.8571428571428572,1.8571428571428572,1.7777777777777777,4.428571428571429,4.714285714285714,3.111111111111111
24,23,13,4.561594202898551,4.154150197628459,2.8974358974358974,3.6482213438735176,3.207792207792208,2.242424242424242,1,1,1,3.1231884057971016,3.075098814229249,2.5256410256410255,2.050724637681159,2.1897233201581026,2.076923076923077,2.1666666666666665,2.260869565217391,2.3076923076923075,2.9166666666666665,2.782608695652174,3.076923076923077,23,22,12,2.3333333333333335,2.4347826086956523,2.6153846153846154,7.916666666666667,7.130434782608695,3.8461538461538463
16,15,9,5.666666666666667,4.104761904761904,3.3333333333333335,3.323809523809524,2.5970149253731343,1.25,1,1,1,3.1166666666666667,3.0095238095238095,2.611111111111111,2.066666666666667,2.219047619047619,2.3055555555555554,1.875,2,1.7777777777777777,2.5,2.1333333333333333,2.6666666666666665,15,14,8,2,2.1333333333333333,2,6,5.733333333333333,2.6666666666666665
16,16,11,3.2,3.2,2.9454545454545453,2.7282608695652173,3.037037037037037,2.2545454545454544,1,1,1,2.783333333333333,2.783333333333333,2.6545454545454548,2.15,2.0166666666666666,2.4909090909090907,2.125,2.125,2,2.375,2,2.727272727272727,15,15,10,2.125,2.125,2,5.875,6,2.727272727272727
